author_sort,authors,series,series_index,title
"Christie, Agatha","Agatha Christie","","1.0","At Bertram's Hotel"
"Brooks, Max","Max Brooks","","1.0","The zombie survival guide: complete protection from the living dead"
"Brooks, Max","Max Brooks","","1.0","World War Z: An Oral History of the Zombie War"
"Campbell, Joseph","Joseph Campbell","","1.0","Myths to live by"
"Campbell, Joseph & Moyers, Bill D. & Flowers, Betty S.","Joseph Campbell, Bill D. Moyers, Betty S. Flowers","","1.0","The power of myth"
"Christie, Agatha","Agatha Christie","","1.0","Best detective stories of Agatha Christie"
"Brothers, Grimm","Grimm Brothers","","1.0","Grimm's Fairy Tales"
"Archer, Alex","Alex Archer","Rogue Angel","6.0","The Lost Scrolls"
"Christie, Agatha","Agatha Christie, Charles Osborne","Hercule Poirot Mystery","6.5","Black Coffee"
"Christie, Agatha","Agatha Christie","Tommy and Tuppence","4.0","By the pricking of my thumbs"
"Brown, Dan","Dan Brown","Robert Langdon","1.0","Angels & Demons"
"Camus, Albert","Albert Camus","","1.0","The Stranger"
"Archer, Alex","Alex Archer","Rogue Angel","12.0","The Soul Stealer"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","13.0","Cards on the Table"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","31.0","Cat Among the Pigeons"
"Brown, Dan","Dan Brown","","1.0","Deception Point"
"Capote, Truman","Truman Capote","","1.0","In Cold Blood"
"Card, Orson Scott","Orson Scott Card","Tales of Alvin Maker","4.0","Alvin journeyman"
"Card, Orson Scott","Orson Scott Card","Ender's Game: Publication Order","4.0","Children of the Mind"
"Archer, Alex","Alex Archer","Rogue Angel","3.0","The Spider Stone"
"Archer, Alex","Alex Archer","Rogue Angel","22.0","The Spirit Banner"
"Christie, Agatha","Agatha Christie","","1.0","Complete Short Stories of Miss Marple"
"Christie, Agatha","Agatha Christie","","1.0","Crooked House"
"Brown, Dan","Dan Brown","Robert Langdon","2.0","The Da Vinci Code"
"Card, Orson Scott","Orson Scott Card","Ender's Game: Extended","1.5","Ender in Exile"
"Archer, Alex","Alex Archer","Rogue Angel","9.0","Warrior Spirit"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","39.0","Curtain: Poirot's last case"
"Christie, Agatha","Agatha Christie","","1.0","Death comes as the end"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","11.0","Death in the clouds"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","15.0","Death on the Nile: a Hercule Poirot mystery"
"Brown, Dan","Dan Brown","Robert Langdon","3.0","The Lost Symbol"
"Bryson, Bill","Bill Bryson","","1.0","A short history of nearly everything"
"Burgess, Anthony","Anthony Burgess","","1.0","A Clockwork Orange"
"Card, Orson Scott","Orson Scott Card","Ender's Game: Publication Order","5.0","Ender's Shadow"
