author_sort,authors,series,series_index,title
"Gilbert, Elizabeth","Elizabeth Gilbert","","1.0","Stern Men"
"Gladwell, Malcolm","Malcolm Gladwell","","1.0","Blink: The Power of Thinking Without Thinking"
"Gladwell, Malcolm","Malcolm Gladwell","","1.0","Outliers: the story of success"
"Gladwell, Malcolm","Malcolm Gladwell","","1.0","The tipping point: how little things can make a big difference"
"Gladwell, Malcolm","Malcolm Gladwell","","1.0","What the Dog Saw: And Other Adventures"
"Golden, Arthur","Arthur Golden","","1.0","Memoirs of a geisha: a novel"
"Golding, William","William Golding","","1.0","Lord of the Flies"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","3.0","Blood of the Fold"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","9.0","Chainfire"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","11.0","Confessor"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","0.5","Debt of Bones"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","6.0","Faith of the Fallen"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","8.0","Naked Empire"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","10.0","Phantom"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","5.0","Soulf of the Fire"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","2.0","Stone of Tears"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","4.0","Temple of the Winds"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","7.0","The Pillars of Creation"
"Goodkind, Terry","Terry Goodkind","Sword of Truth","1.0","Wizard's First Rule"
"Huston, Charlie","Charlie Huston","Joe Pitt","2.0","No Dominion"
"Huxley, Aldous","Aldous Huxley","","1.0","Brave New World"
"Irving, John","John Irving","","1.0","A prayer for Owen Meany: a novel"
"Irving, Washington","Washington Irving","","1.0","The Legend of Sleepy Hollow and Other Writings"
"James, Henry","Henry James","","1.0","Daisy Miller: and, Washington Square"
"James, P. D.","P. D. James","","1.0","The Children of Men"
"Jordan, Robert","Robert Jordan","Wheel of Time","7.0","A crown of swords"
"Jordan, Robert","Robert Jordan","Wheel of Time","10.0","Crossroads of twilight"
"Jordan, Robert","Robert Jordan","Wheel of Time","11.0","Knife of Dreams"
"Jordan, Robert","Robert Jordan","Wheel of Time","6.0","Lord of chaos"
"Jordan, Robert","Robert Jordan","Wheel of Time","3.0","The Dragon Reborn"
"Jordan, Robert","Robert Jordan","Wheel of Time","5.0","The fires of heaven"
"Jordan, Robert","Robert Jordan","Wheel of Time","2.0","The great hunt"
"Jordan, Robert","Robert Jordan","Wheel of Time","8.0","The path of daggers"
"Jordan, Robert","Robert Jordan","Wheel of Time","4.0","The shadow rising"
"Grisham, John","John Grisham","","1.0","The Runaway Jury"
"Grisham, John","John Grisham","","1.0","The Street Lawyer"
"Grisham, John","John Grisham","","1.0","The summons"
"Grisham, John","John Grisham","","1.0","The Testament"
"Gruen, Sara","Sara Gruen","","1.0","Water for Elephants"
"Haggard, H. Rider","H. Rider Haggard","Allan Quatermain","1.0","King Solomon's Mines"
"Halpern, Justin","Justin Halpern","","1.0","Sh*t My Dad Says"
"Hamilton, Alexander & Madison, James & Jay, John & Goldman, Lawrence","Alexander Hamilton, James Madison, John Jay, Lawrence Goldman","","1.0","The Federalist papers"
"Handler, Chelsea","Chelsea Handler","","1.0","Are You There, Vodka? It's Me, Chelsea"
"Handler, Chelsea","Chelsea Handler","","1.0","Chelsea Chelsea Bang Bang"
"Handler, Chelsea","Chelsea Handler","","1.0","My Horizontal Life: A Collection of One-Night Stands"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","2.0","A Bone to Pick"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","6.0","A Fool and His Honey"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","4.5","A Touch of Dead"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","7.0","All Together Dead"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","3.0","Club Dead"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","9.0","Dead and Gone"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","5.0","Dead as a doornail"
"Harris, Charlaine","Charlaine Harris","Lily Bard","0.0","Dead Giveaway"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","10.0","Dead in the Family"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","5.0","Dead over heels"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","4.0","Dead to the World"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","1.0","Dead Until Dark"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","6.0","Definitely dead"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","8.0","From Dead to Worse"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","7.0","Last scene alive"
"Harris, Charlaine","Charlaine Harris","Southern Vampire Mysteries","2.0","Living dead in Dallas"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","8.0","Poppy done to death"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","1.0","Real Murders"
"Harris, Charlaine","Charlaine Harris","Lily Bard Mysteries","2.0","Shakespeare's Champion"
"Harris, Charlaine","Charlaine Harris","Lily Bard Mysteries","3.0","Shakespeare's Christmas"
"Harris, Charlaine","Charlaine Harris","Lily Bard Mysteries","5.0","Shakespeare's Counselor"
"Harris, Charlaine","Charlaine Harris","Lily Bard Mysteries","1.0","Shakespeare's Landlord"
"Harris, Charlaine","Charlaine Harris","Lily Bard Mysteries","4.0","Shakespeare's Trollop"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","4.0","The Julius House"
"Faulks, Sebastian","Sebastian Faulks","French Trilogy","3.0","Charlotte Gray"
"Faulks, Sebastian","Sebastian Faulks","James Bond","43.0","Devil May Care"
"Faulks, Sebastian","Sebastian Faulks","","1.0","Human Traces"
"Fitzgerald, F. Scott","F. Scott Fitzgerald","","1.0","Tender is the night"
"Fitzgerald, F. Scott","F. Scott Fitzgerald","","1.0","The Great Gatsby"
"Dick, Philip K.","Philip K. Dick","","1.0","Five great novels. The three stigmata of Palmer Eldritch. Martian time-slip. Do Androids dream of electric sheep?. Ubik. A scanner darkly"
"Goolrick, Robert","Robert Goolrick","","1.0","A Reliable Wife"
"Gould, Steven","Steven Gould","Jumper","1.0","Jumper"
"Gould, Steven","Steven Gould","Jumper","1.0","Jumper: Griffin's Story"
"Gould, Steven","Steven Gould","Jumper","2.0","Reflex"
"Grahame, Kenneth","Kenneth Grahame","Wind in the Willows","1.0","The Wind in the Willows"
"Grahame-Smith, Seth","Seth Grahame-Smith","","1.0","Abraham Lincoln: Vampire Hunter"
"Grann, David","David Grann","","1.0","The Devil and Sherlock Holmes: Tales of Murder, Madness, and Obsession"
"Grann, David","David Grann","","1.0","The Lost City of Z: A Tale of Deadly Obsession in the Amazon"
"Greene, Brian","Brian Greene","","1.0","The elegant universe: superstrings, hidden dimensions, and the quest for the ultimate theory"
"Greene, Robert & Elffers, Joost","Robert Greene, Joost Elffers","","1.0","The 48 laws of power"
"Grisham, John","John Grisham","","1.0","A Painted House"
"Grisham, John","John Grisham","","1.0","A Time to Kill"
"Grisham, John","John Grisham","","1.0","Ford County: stories"
"Grisham, John","John Grisham","","1.0","Playing for Pizza"
"Grisham, John","John Grisham","","1.0","Skipping Christmas"
"Grisham, John","John Grisham","","1.0","The associate"
"Grisham, John","John Grisham","","1.0","Bleachers"
"Grisham, John","John Grisham","","1.0","The Brethren"
"Grisham, John","John Grisham","","1.0","The Broker"
"Grisham, John","John Grisham","","1.0","The Chamber"
"Grisham, John","John Grisham","","1.0","The client"
"Harris, Charlaine","Charlaine Harris","Aurora Teagarden Mysteries","3.0","Three Bedrooms, One Corpse"
"Harris, Thomas","Thomas Harris","Hannibal Lecter","3.0","Hannibal"
"Harris, Thomas","Thomas Harris","Hannibal Lecter","1.0","Red Dragon"
"Harris, Thomas","Thomas Harris","Hannibal Lecter","2.0","The Silence of the Lambs"
"Hawking, Stephen","Stephen Hawking","","1.0","Illustrated Theory of Everything: The Origin and Fate of the Universe"
"Hawking, Stephen","Stephen Hawking","","1.0","A Briefer History of Time"
"Hawking, Stephen","Stephen Hawking","","1.0","A brief history of time"
"Hawthorne, Nathaniel & Stade, Nancy","Nathaniel Hawthorne, Nancy Stade","","1.0","The Scarlet Letter"
"Fleming, Ian","Ian Fleming","James Bond","1.0","Casino royale: a James Bond novel"
"Fleming, Ian","Ian Fleming","James Bond","4.0","Diamonds are forever: a James Bond novel"
"Fleming, Ian","Ian Fleming","James Bond","6.0","Doctor No"
"Fleming, Ian","Ian Fleming","James Bond","8.0","For your eyes only: a James Bond novel"
"Fleming, Ian","Ian Fleming","James Bond","5.0","From Russia with love: a James Bond novel"
"Fleming, Ian","Ian Fleming","James Bond","7.0","Goldfinger: 007, a James Bond novel"
"Fleming, Ian","Ian Fleming","James Bond","2.0","Live and let die: a James Bond novel"
"Fleming, Ian","Ian Fleming","James Bond","3.0","Moonraker"
"Fleming, Ian","Ian Fleming","James Bond","11.0","On Her Majesty's secret service"
"Fleming, Ian","Ian Fleming","James Bond","13.0","The man with the golden gun: a James Bond novel"
"Fleming, Ian","Ian Fleming","James Bond","10.0","The Spy Who Loved Me: A James Bond Novel"
"Fleming, Ian","Ian Fleming","James Bond","9.0","Thunderball: a James Bond novel"
"Flynn, Vince","Vince Flynn","Mitch Rapp","7.0","Act of Treason"
"Flynn, Vince","Vince Flynn","Mitch Rapp","6.0","Consent to kill: a thriller"
"Flynn, Vince","Vince Flynn","Mitch Rapp","9.0","Extreme Measures: A Thriller"
"Flynn, Vince","Vince Flynn","Mitch Rapp","5.0","Memorial Day"
"Flynn, Vince","Vince Flynn","Mitch Rapp","8.0","Protect and defend: a thriller"
"Flynn, Vince","Vince Flynn","Mitch Rapp","3.0","Separation of Power"
"Emerson, Ralph Waldo","Ralph Waldo Emerson","","1.0","Essays and Poems by Ralph Waldo Emerson"
"Eugenides, Jeffrey","Jeffrey Eugenides","","1.0","Middlesex"
"Evanovich, Janet","Janet Evanovich","Elsie Hawkins Series","1.0","Back to the bedroom"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","11.0","Eleven on Top"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","14.0","Fearless Fourteen"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","15.0","Finger Lickin' Fifteen"
"Evanovich, Janet","Janet Evanovich","Janet Evanovich Single Romance Novels","2.0","Foul Play"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","4.0","Four to Score"
"Evanovich, Janet","Janet Evanovich","Full Series","1.0","Full House"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","8.0","Hard eight"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","5.0","High Five"
"Flynn, Vince","Vince Flynn","Mitch Rapp","2.0","The Third Option"
"Flynn, Vince","Vince Flynn","Mitch Rapp","1.0","Transfer of Power"
"Follett, Ken","Ken Follett","","1.0","Lie down with lions"
"Follett, Ken","Ken Follett","","1.0","Paper Money"
"Follett, Ken","Ken Follett","","1.0","The Man from St. Petersburg"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","6.0","Hot Six"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","13.0","Lean Mean Thirteen"
"Evanovich, Janet","Janet Evanovich","Janet Evanovich Single Romance Novels","6.0","Love Overboard"
"Evanovich, Janet","Janet Evanovich","Janet Evanovich Single Romance Novels","5.0","Manhunt"
"Evanovich, Janet","Janet Evanovich","Alex Barnaby","1.0","Metro Girl"
"Evanovich, Janet","Janet Evanovich","Alex Barnaby","2.0","Motor Mouth"
"Evanovich, Janet","Janet Evanovich","Janet Evanovich Single Romance Novels","7.0","Naughty Neighbor"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","1.0","One for the Money"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","12.5","Plum lovin'"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","13.5","Plum Lucky"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","14.5","Plum Spooky"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","7.0","Seven Up"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","16.0","Sizzling Sixteen"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","10.0","Ten Big Ones"
"Evanovich, Janet","Janet Evanovich","Janet Evanovich Single Romance Novels","4.0","Thanksgiving"
"Evanovich, Janet","Janet Evanovich","Janet Evanovich Single Romance Novels","3.0","The Grand Finale"
"Evanovich, Janet","Janet Evanovich","Elsie Hawkins Series","4.0","The Rocky Road to Romance"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","3.0","Three to Get Deadly and Four to Score"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","9.0","To the Nines"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","12.0","Twelve Sharp"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","2.0","Two for the Dough"
"Evanovich, Janet","Janet Evanovich","Stephanie Plum","8.5","Visions of Sugar Plums"
"Evanovich, Janet","Janet Evanovich","Elsie Hawkins Series","3.0","Wife for Hire"
"Evanovich, Janet & Hughes, Charlotte","Janet Evanovich, Charlotte Hughes","Full Series","4.0","Full Blast"
"Evanovich, Janet & Hughes, Charlotte","Janet Evanovich, Charlotte Hughes","Full Series","5.0","Full Bloom"
"Evanovich, Janet & Hughes, Charlotte","Janet Evanovich, Charlotte Hughes","Full Series","6.0","Full Scoop"
"Evanovich, Janet & Hughes, Charlotte","Janet Evanovich, Charlotte Hughes","Full Series","3.0","Full Speed"
"Evanovich, Janet & Hughes, Charlotte","Janet Evanovich, Charlotte Hughes","Full Series","2.0","Full Tilt"
"Farland, David","David Farland","The Runelords","2.0","Brotherhood of the Wolf"
"Farland, David","David Farland","The Runelords","8.0","Chaosbound"
"Farland, David","David Farland","The Runelords","5.0","Sons of the Oak"
"Farland, David","David Farland","The Runelords","4.0","The Lair of Bones"
"Farland, David","David Farland","The Runelords","1.0","The sum of all men"
"Farland, David","David Farland","The Runelords","7.0","The Wyrmling Horde"
"Dick, Philip K.","Philip K. Dick","","1.0","Deus Irae"
"Dick, Philip K.","Philip K. Dick","","1.0","Do Androids Dream of Electric Sheep"
"Dick, Philip K.","Philip K. Dick","","1.0","Dr. Bloodmoney"
"Dick, Philip K.","Philip K. Dick","","1.0","Flow my tears, the policeman said"
"Dick, Philip K.","Philip K. Dick","","1.0","I hope I shall arrive soon"
"Dick, Philip K.","Philip K. Dick","","1.0","Martian Time Slip"
"Dick, Philip K.","Philip K. Dick","","1.0","Now Wait for Last Year"
"Dick, Philip K.","Philip K. Dick","The Collected Stories of Philip K. Dick","3.0","Second variety"
"Dick, Philip K.","Philip K. Dick","","1.0","Solar lottery"
"Follett, Ken","Ken Follett","Kingsbridge","1.0","The Pillars of the Earth"
"Follett, Ken","Ken Follett","","1.0","The Third Twin"
"Farland, David","David Farland","The Runelords","3.0","Wizardborn"
"Farland, David","David Farland","The Runelords","6.0","Worldbinder"
"Dick, Philip K.","Philip K. Dick","VALIS Trilogy","2.0","The divine invasion"
"Dick, Philip K.","Philip K. Dick","The Collected Stories of Philip K. Dick","4.0","The Minority Report"
"Follett, Ken","Ken Follett","","1.0","Whiteout"
"Follett, Ken","Ken Follett","Kingsbridge","2.0","World without end"
"Forster, E. M.","E. M. Forster","","1.0","A Room with a View"
"Faulks, Sebastian","Sebastian Faulks","","1.0","A Week in December"
"Dick, Philip K.","Philip K. Dick","","1.0","Ubik"
"Dick, Philip K.","Philip K. Dick","","1.0","We Can Build You"
"Cooper, James Fenimore","James Fenimore Cooper","","1.0","The Last of the Mohicans"
"Covey, Stephen R.","Stephen R. Covey","","1.0","Seven habits of highly effective people"
"Crane, Stephen","Stephen Crane","","1.0","The Red Badge of Courage and Selected Short Fiction"
"Crichton, Michael","Michael Crichton","","1.0","Airframe"
"Crichton, Michael","Michael Crichton","","1.0","Congo"
"Crichton, Michael","Michael Crichton","","1.0","Eaters of the Dead"
"Crichton, Michael","Michael Crichton","Jurassic Park","1.0","Jurassic park"
"Crichton, Michael","Michael Crichton","","1.0","Next: a novel"
"Fox, Cathryn","Cathryn Fox","Pleasure Inn","2.0","All Worked Up"
"Fox, Cathryn","Cathryn Fox","Pleasure Inn","1.0","Instinctive"
"Frank, Anne & Frank, Otto & Pressler, Mirjam","Anne Frank, Otto Frank, Mirjam Pressler","","1.0","The diary of a young girl: the definitive edition"
"Gaiman, Neil","Neil Gaiman","American Gods","1.0","American Gods"
"Gaiman, Neil","Neil Gaiman","American Gods","2.0","Anansi Boys"
"Gaiman, Neil","Neil Gaiman","","1.0","Neverwhere: A Novel"
"Dickens, Charles","Charles Dickens","","1.0","A Tale of Two Cities"
"Dickens, Charles","Charles Dickens","","1.0","David Copperfield"
"Dickens, Charles","Charles Dickens","","1.0","Great Expectations"
"Dickens, Charles","Charles Dickens","","1.0","Our mutual friend"
"Dickinson, Emily & Wetzsteon, Rachel","Emily Dickinson, Rachel Wetzsteon","","1.0","The collected poems of Emily Dickinson"
"Dostoyevsky, Fyodor","Fyodor Dostoyevsky","","1.0","Crime and Punishment"
"Dostoyevsky, Fyodor","Fyodor Dostoyevsky","","1.0","The Idiot"
"Dostoyevsky, Fyodor & Avsey, Ignat","Fyodor Dostoyevsky, Ignat Avsey","","1.0","The Karamazov Brothers"
"Douglass, Frederick","Frederick Douglass","","1.0","Narrative of the Life of Frederick Douglass, an American Slave"
"Dumas, Alexandre","Alexandre Dumas","","1.0","The Three Musketeers"
"Easwaran, Eknath","Eknath Easwaran","","1.0","The Dhammapada"
"Eco, Umberto","Umberto Eco","","1.0","Foucault's pendulum"
"Eco, Umberto & Weaver, William & Lodge, David","Umberto Eco, William Weaver, David Lodge","","1.0","The name of the rose"
"Eddings, David","David Eddings","The Belgariad","4.0","Castle of Wizardry"
"Clancy, Tom & Rovin, Jeff & Pieczenik, Steve R.","Tom Clancy, Jeff Rovin, Steve R. Pieczenik","Tom Clancy's Op-Center","7.0","Divide and conquer"
"Crichton, Michael","Michael Crichton","Jurassic Park","2.0","The Lost World"
"Crichton, Michael","Michael Crichton","","1.0","Timeline"
"Cussler, Clive","Clive Cussler","Dirk Pitt","15.0","Atlantis Found"
"Cussler, Clive","Clive Cussler","Dirk Pitt","8.0","Cyclops"
"Cussler, Clive","Clive Cussler","Dirk Pitt","7.0","Deep Six"
"Cussler, Clive","Clive Cussler","Dirk Pitt","10.0","Dragon"
"Cussler, Clive","Clive Cussler","Dirk Pitt","14.0","Flood Tide"
"Cussler, Clive","Clive Cussler","","1.0","Iceberg"
"Cussler, Clive","Clive Cussler","Dirk Pitt","12.0","Inca Gold"
"Cussler, Clive","Clive Cussler","Dirk Pitt","6.0","Night Probe!"
"Cussler, Clive","Clive Cussler","Dirk Pitt","1.0","Pacific Vortex!"
"Cussler, Clive","Clive Cussler","Dirk Pitt","4.0","Raise the Titanic!"
"Cussler, Clive","Clive Cussler","Dirk Pitt","11.0","Sahara Trade Paper"
"Cussler, Clive","Clive Cussler","Dirk Pitt","13.0","Shock Wave"
"Cussler, Clive","Clive Cussler","Dirk Pitt","2.0","The Mediterranean Caper"
"Cussler, Clive","Clive Cussler","NUMA Files","1.0","The Numa Files 1. Serpent."
"Cussler, Clive","Clive Cussler","Dirk Pitt","9.0","Treasure"
"Cussler, Clive","Clive Cussler","Dirk Pitt","17.0","Trojan Odyssey"
"Cussler, Clive","Clive Cussler","Dirk Pitt","16.0","Valhalla Rising"
"Cussler, Clive","Clive Cussler","","1.0","Vixen"
"Cussler, Clive & Cussler, Dirk","Clive Cussler, Dirk Cussler","Dirk Pitt","18.0","Black Wind"
"Cussler, Clive & Kemprecos, Paul","Clive Cussler, Paul Kemprecos","","1.0","Blue Gold"
"Cussler, Clive & Kemprecos, Paul","Clive Cussler, Paul Kemprecos","NUMA Files","3.0","Fire Ice"
"Cussler, Clive & Kemprecos, Paul","Clive Cussler, Paul Kemprecos","NUMA Files","5.0","Lost City"
"Cussler, Clive & Kemprecos, Paul","Clive Cussler, Paul Kemprecos","NUMA Files","8.0","Medusa"
"Cussler, Clive & Kemprecos, Paul","Clive Cussler, Paul Kemprecos","NUMA Files","6.0","Polar Shift"
"Cussler, Clive & Kemprecos, Paul","Clive Cussler, Paul Kemprecos","NUMA Files","7.0","The navigator: a novel from the NUMA files"
"Cussler, Clive & Kemprecos, Paul","Clive Cussler, Paul Kemprecos","NUMA Files","4.0","White Death"
"Eddings, David","David Eddings","The Malloreon","3.0","Demon Lord of Karanda"
"Eddings, David","David Eddings","The Belgariad","5.0","Enchanter's End Game"
"Eddings, David","David Eddings","The Malloreon","1.0","Guardians of the West"
"Eddings, David","David Eddings","The Malloreon","2.0","King of The Murgos"
"Eddings, David","David Eddings","The Belgariad","3.0","Magician's Gambit"
"Eddings, David","David Eddings","The Belgariad","1.0","Pawn of Prophecy"
"Eddings, David","David Eddings","The Belgariad","2.0","Queen of Sorcery"
"Eddings, David","David Eddings","The Malloreon","4.0","Sorceress of Darshiva"
"Eddings, David","David Eddings","The Malloreon","5.0","The Seeress of Kell"
"Edwards, Kim","Kim Edwards","","1.0","The memory keeper's daughter"
"Eliot, T. S.","T. S. Eliot","","1.0","Waste Land and Other Poems"
"Clarkson, Jeremy","Jeremy Clarkson","World According to Clarkson","2.0","And Another Thing: The World According to Clarkson Volume Two"
"Clarkson, Jeremy","Jeremy Clarkson","","1.0","Born to Be Riled"
"Clarkson, Jeremy","Jeremy Clarkson","","1.0","Clarkson on Cars"
"Clarkson, Jeremy","Jeremy Clarkson","","1.0","Don't Stop Me Now"
"Clarkson, Jeremy","Jeremy Clarkson","World According to Clarkson","3.0","For crying out loud!: the world according to Clarkson"
"Clarkson, Jeremy","Jeremy Clarkson","","1.0","I know you got soul: machines with that certain something"
"Davis, Michael","Michael Davis","","1.0","Street gang: the complete history of Sesame Street"
"Dawkins, Richard","Richard Dawkins","","1.0","The God Delusion"
"Dawkins, Richard","Richard Dawkins","","1.0","The selfish gene"
"Diamond, Jared M.","Jared M. Diamond","","1.0","Guns, germs, and steel: the fates of human societies"
"Dick, Philip K.","Philip K. Dick","","1.0","A maze of death"
"Dick, Philip K.","Philip K. Dick","","1.0","A scanner darkly"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","34.0","The Clocks"
"Christie, Agatha","Agatha Christie","Harley Quin","4.0","The Harlequin Tea Set and Other Stories"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","24.0","The Hollow"
"Christie, Agatha","Agatha Christie","","1.0","The hound of death"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","25.0","The labors of Hercules"
"Christie, Agatha","Agatha Christie","","1.0","The Listerdale Mystery"
"Christie, Agatha","Agatha Christie","Colonel Race","1.0","The Man in the Brown Suit"
"Christie, Agatha","Agatha Christie","Miss Marple","9.0","The mirror crack'd from side to side"
"Clarkson, Jeremy","Jeremy Clarkson","","1.0","Motorworld"
"Cobb, James & Ludlum, Robert","James Cobb, Robert Ludlum","Covert-One","7.0","The Arctic Event"
"Coelho, Paulo","Paulo Coelho","And on the Seventh Day","1.0","By the River Piedra I Sat Down and Wept: A Novel of Forgiveness"
"Coelho, Paulo","Paulo Coelho","","1.0","Eleven Minutes"
"Coelho, Paulo","Paulo Coelho","","1.0","Maktub"
"Coelho, Paulo","Paulo Coelho","","1.0","Manual of the Warrior of Light"
"Coelho, Paulo","Paulo Coelho","","1.0","The Alchemist"
"Coelho, Paulo","Paulo Coelho","And on the Seventh Day","3.0","The devil and Miss Prym"
"Coelho, Paulo","Paulo Coelho","","1.0","The Fifth Mountain"
"Coelho, Paulo","Paulo Coelho","","1.0","The Pilgrimage: A Contemporary Quest for Ancient Wisdom"
"Coelho, Paulo","Paulo Coelho","","1.0","The valkyries: an encounter with angels"
"Coelho, Paulo","Paulo Coelho","","1.0","The Winner Stands Alone"
"Coelho, Paulo","Paulo Coelho, Margaret Jull Costa","","1.0","The Witch of Portobello"
"Coelho, Paulo","Paulo Coelho","","1.0","The Zahir: A Novel of Obsession"
"Coelho, Paulo","Paulo Coelho","","1.0","Veronika Decides to Die"
"Coetzee, J. M.","J. M. Coetzee","","1.0","Disgrace"
"Collins, Suzanne","Suzanne Collins","The Hunger Games","2.0","Catching Fire"
"Collins, Suzanne","Suzanne Collins","The Hunger Games","1.0","The Hunger Games"
"Dick, Philip K.","Philip K. Dick","","1.0","Confessions of a crap artist"
"Christie, Agatha","Agatha Christie","Miss Marple","4.0","The Moving Finger"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","4.0","The Murder of Roger Ackroyd: A Hercule Poirot Mystery"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","1.0","The mysterious affair at Styles"
"Christie, Agatha","Agatha Christie","Harley Quin","1.0","The Mysterious Mr. Quin"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","6.0","The mystery of the blue train"
"Christie, Agatha","Agatha Christie","Ariadne Oliver","5.0","The pale horse"
"Christie, Agatha","Agatha Christie","Miss Marple","15.5","The Regatta Mystery and Other Stories"
"Christie, Agatha","Agatha Christie","Tommy and Tuppence","1.0","The secret adversary"
"Christie, Agatha","Agatha Christie","Superintendent Battle","1.0","The Secret of Chimneys"
"Christie, Agatha","Agatha Christie","Superintendent Battle","2.0","The seven dials mystery"
"Christie, Agatha","Agatha Christie","","1.0","The Sittaford Mystery"
"Christie, Agatha","Agatha Christie","Miss Marple","2.0","The Thirteen Problems"
"Christie, Agatha","Agatha Christie","","1.0","The Unexpected Guest"
"Christie, Agatha","Agatha Christie","","1.0","They came to Baghdad"
"Christie, Agatha","Agatha Christie","Miss Marple","6.0","They do it with mirrors"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","35.0","Third girl"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","10.0","Three Act Tragedy"
"Christie, Agatha","Agatha Christie","Hercule Poirot Mystery","26.5","Three Blind Mice"
"Christie, Agatha","Agatha Christie","Superintendent Battle","5.0","Towards zero"
"Christie, Agatha","Agatha Christie","","1.0","While the light lasts"
"Christie, Agatha","Agatha Christie","","1.0","Why Didn't They Ask Evans?"
"Connelly, Michael","Michael Connelly","","1.0","The Brass Verdict"
"Ambrose, Stephen E.","Stephen E. Ambrose","","1.0","Citizen Soldiers: The U.S. Army from the Normandy Beaches to the Buldge to the Surrender of Germany Jun 7, 1994-May 7, 1945"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","6.0","Clear and present danger"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","8.0","Debt of Honor"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","9.0","Executive orders"
"Clancy, Tom","Tom Clancy","Tom Clancy's Op-Center","1.0","Op-center"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","2.0","Patriot games"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","10.0","Rainbow six"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","3.0","Red Rabbit"
"Clancy, Tom","Tom Clancy","","1.0","Red storm rising"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","11.0","The Bear and the Dragon"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","5.0","The Cardinal of the Kremlin"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","4.0","The Hunt for Red October"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","7.0","The sum of all fears"
"Clancy, Tom","Tom Clancy","Jack Ryan Apperance Order","12.0","The Teeth of the Tiger"
